Network,Gs,GW
22192526,0.092287336,0.113458088
Lymphopoiesis_Regulatory_Network_26408858,0.091462526,0.117332365
Mammalian_Cell_Cycle_2006_16873462,0.088574509,0.092688095
SKBR3_Breast_Cell_Line_Long-term_ErbB_Network_24970389,0.087340842,0.131288127
CD4_T_cell_signaling_25538703,0.086096627,0.161429735
gastricNet,0.084310592,0.096295345
FA_BRCA_pathway_22267503,0.081724672,0.083937691
29230182,0.081369223,0.07548368
Senescence_Associated_Secretory_Phenotype_29206223,0.078555316,0.085894806
Cell_Cycle_Transcription_by_Coupled_CDK_and_Network_Oscillators_18463633,0.073974665,0.066862291
26564978,0.072687312,0.082186592
B_bronchiseptica_and_T_retortaeformis_coinfection_22253585,0.070924825,0.082317816
26660865,0.069268417,0.106606266
Pro-inflammatory_Tumor_Microenvironment_in_Acute_Lymphoblastic_Leukemia_27594840,0.06523891,0.078995941
25063553_AND_AND,0.065020956,0.062233479
25063553_AND_OR,0.065020956,0.062233479
25063553_OR_AND,0.065020956,0.062233479
25063553_OR_OR,0.065020956,0.062233479
Stomatal_Opening_Model_27542373,0.062894407,0.062753382
30038409,0.061623157,0.062432355
EGFR___ErbB_Signaling_19662154,0.056915697,0.05092855
27138333,0.056521488,0.075760946
Fanconi_anemia_and_checkpoint_recovery_26385365,0.05340824,0.050365944
FGF_pathway_of_Drosophila_Signaling_Pathways_23868318,0.052375,0.03475
PC12_Cell_Differentiation_27148350,0.051371878,0.055016483
23169817_high_dna_damage,0.050932865,0.050967593
23169817_low_dna_damage,0.050932865,0.050967593
Neurotransmitter_Signaling_Pathway_17010384,0.049503052,0.056130041
Cholesterol_Regulatory_Pathway_19025648,0.048472222,0.029375
16464248_signaling_pathway,0.047206413,0.009186525
Bordetella_bronchiseptica_22253585,0.046973757,0.050037872
32054948,0.0468937,0.040680853
T-Cell_Signaling_2006_16464248,0.043125168,0.004155152
Arabidopsis_thaliana_Cell_Cycle_26340681,0.042112624,0.038533229
Signaling_in_Macrophage_Activation_18433497,0.041910133,0.057678439
drosophila,0.041438776,0.055020408
VEGF_Pathway_of_Drosophila_Signaling_Pathway_23868318,0.040625,0.03125
Iron_acquisition_and_oxidative_stress_response_in_aspergillus_fumigatus_25908096,0.03937568,0.034253139
manual_mod_Treatment_of_Castration-Resistant_Prostate_Cancer_28361666,0.03925,0.021
27464342_curated_model,0.036721171,0.026284433
T_Cell_Receptor_Signaling_17722974,0.036282839,0.035660343
30148917,0.035350228,0.031824961
fMRI_-_Regulation_of_the_Lac_Operon_25790483,0.03075,0.0515
Body_Segmentation_in_Drosophila_2013_23520449,0.029914851,0.013015365
yeast,0.028650065,0.030618111
24564942_threshold,0.028475154,0.041137635
Signal_Transduction_in_Fibroblasts_18250321,0.026061786,0.028516552
Glucose_Repression_Signaling_2009_19144179,0.0258125,0.001625
26346668,0.02490625,0.0091875
31516637_model1,0.023030924,0.019139533
31516637_model2,0.023030924,0.019139533
31516637_model3,0.023030924,0.019139533
31516637_model4,0.023030924,0.019139533
30281473,0.022414201,0.010213018
Wg_Pathway_of_Drosophila_Signalling_Pathways_23868318,0.022222222,0.011111111
18194572,0.02140051,0.019229592
Processing_of_Spz_Network_from_the_Drosophila_Signaling_Pathway_23868318,0.02109375,0.0171875
IL-1_Signaling_21968890,0.021027811,0.008184673
MAPK_Cancer_Cell_Fate_Network_24250280,0.019544547,0.032026941
HH_Pathway_of_Drosophila_Signaling_Pathways_23868318,0.019,0.008
28381275,0.017662601,0.015157437
Toll_Pathway_of_Drosophila_Signaling_Pathway_23868318,0.017361111,0.018055556
Guard_Cell_Abscisic_Acid_Signaling_16968132,0.016860127,0.013613176
IGVH_mutations_in_chronic_lymphocytic_leukemia_26088082,0.016783123,0.021452589
Yeast_Apoptosis_23233838,0.014586938,0.012997405
IL-6_Signaling_21968890,0.014532199,0.015642277
28187161,0.014019555,0.020796206
30530226,0.012899288,0.014278189
Oxidative_Stress_Pathway_23134720,0.011460432,0.009229847
29596489,0.006482007,0.007797921
